,Level,total_time,total_words,raito,uniq,a1,a2,b1,b2,c1,c2
145,2,4251.739000000009,9381.0,2.2063913142363587,1196.0,2469.0,1668.0,1169.0,1522.0,1146.0,0.0
146,2,4889.061999999978,12802.0,2.61849819045045,1402.0,3177.0,2128.0,1478.0,1931.0,1447.0,0.0
147,2,3678.6289999999676,8815.0,2.3962731767732155,1168.0,2155.0,1502.0,1163.0,1331.0,1048.0,0.0
148,3,3789.5679999999907,10705.0,2.824860247922725,1448.0,2449.0,1883.0,1249.0,1616.0,1262.0,0.0
149,3,3548.1610000000037,10910.0,3.074832286359043,1407.0,2712.0,1802.0,1290.0,1673.0,1428.0,0.0
150,3,4632.961999999985,12361.0,2.6680555549559957,1128.0,3348.0,2361.0,1617.0,2029.0,1605.0,0.0
151,3,2094.1579999999926,5837.0,2.7872777507714415,883.0,1474.0,1011.0,733.0,959.0,749.0,0.0
152,3,3869.2999999999865,9465.0,2.4461788954074466,1079.0,2089.0,1682.0,1221.0,1677.0,1114.0,0.0
153,3,1924.2410000000034,4529.0,2.353655285382648,712.0,1140.0,945.0,518.0,740.0,607.0,0.0
154,3,3420.9210000000026,7846.0,2.293534401992912,1200.0,1730.0,1352.0,1124.0,1442.0,1077.0,0.0
155,3,2535.317999999998,7120.0,2.808326213910841,1090.0,1674.0,1155.0,753.0,1024.0,780.0,0.0
156,3,2246.878000000004,7472.0,3.3255032093420236,894.0,2002.0,1568.0,1067.0,1378.0,1045.0,0.0
157,3,4522.022,11540.0,2.551955740153409,1238.0,2908.0,2155.0,1440.0,2071.0,1673.0,0.0
158,3,5677.2439999999915,12874.0,2.267649584904228,1361.0,3250.0,2281.0,1513.0,2011.0,1627.0,0.0
159,3,5565.534999999994,14631.0,2.6288577827648223,1670.0,3878.0,2807.0,1967.0,2401.0,1951.0,0.0
160,3,3131.567000000001,7284.0,2.325992067230239,1221.0,1561.0,1126.0,806.0,1035.0,809.0,0.0
161,3,2508.7499999999995,5814.0,2.3174887892376685,943.0,1071.0,935.0,717.0,915.0,727.0,0.0
162,3,2849.555,6422.0,2.253685224535059,1086.0,1268.0,956.0,688.0,904.0,731.0,0.0
163,3,2669.904999999991,7094.0,2.6570233772362775,895.0,1790.0,1424.0,811.0,1181.0,951.0,0.0
164,3,4120.470999999984,12544.0,3.044312167225555,1375.0,2726.0,1912.0,1372.0,1742.0,1409.0,0.0
165,3,3812.0559999999964,10960.0,2.875088928389302,1245.0,2629.0,1845.0,1218.0,1579.0,1234.0,0.0
166,2,1087.9180000000006,2832.0,2.603137368809045,411.0,748.0,572.0,292.0,436.0,363.0,0.0
167,2,2679.476,7118.0,2.656489552434879,1117.0,1350.0,1177.0,919.0,1111.0,915.0,0.0
168,2,1533.320999999999,3632.0,2.3687147048791495,742.0,749.0,604.0,402.0,546.0,426.0,0.0
169,2,3995.661999999997,10611.0,2.6556300307683705,1434.0,2408.0,1754.0,1203.0,1495.0,1283.0,0.0
170,2,1596.6069999999977,3039.0,1.903411421846456,390.0,763.0,576.0,366.0,569.0,361.0,0.0
171,2,4784.196999999993,13678.0,2.8589959819798434,1527.0,3644.0,2488.0,1612.0,2136.0,1647.0,0.0
172,3,955.4250000000001,2509.0,2.6260564670172957,441.0,589.0,408.0,286.0,361.0,262.0,0.0
173,3,3863.3079999999954,13092.0,3.388805655671258,1249.0,3193.0,2683.0,1723.0,2182.0,1943.0,0.0
174,3,2971.7699999999927,8644.0,2.908704240233942,1030.0,2032.0,1438.0,1004.0,1282.0,1067.0,0.0
176,3,3966.025999999997,11040.0,2.7836428707224834,1341.0,2744.0,1960.0,1413.0,1709.0,1394.0,0.0
177,3,2027.916,3491.0,1.7214716980387748,508.0,724.0,602.0,500.0,506.0,406.0,0.0
178,3,4868.866000000008,12715.0,2.6114910535635976,1704.0,2448.0,2136.0,1570.0,2083.0,1552.0,0.0
179,3,4168.613999999985,8201.0,1.967320553066326,1375.0,1506.0,1227.0,809.0,1078.0,854.0,0.0
180,3,3564.7300000000005,6731.0,1.888221548336059,972.0,1546.0,1061.0,737.0,928.0,740.0,0.0
181,3,4304.243000000001,12291.0,2.8555543913296706,1588.0,2786.0,1838.0,1335.0,1693.0,1246.0,0.0
182,3,2918.522000000003,7622.0,2.611595869416092,1514.0,1544.0,1233.0,922.0,1181.0,974.0,0.0
183,3,2706.473000000004,5880.0,2.1725692441786753,818.0,1559.0,1010.0,733.0,991.0,717.0,0.0
184,3,3734.45,9729.0,2.60520290805875,981.0,2498.0,1643.0,1127.0,1444.0,1143.0,0.0
